"ID","ContinentID","ParentAreaID","AreaBit","Flags","SoundProviderPref","SoundProviderPrefUnderWater","AmbienceID","ZoneMusic","IntroSound","ExplorationLevel","AreaName_enUS","AreaName_enGB","AreaName_koKR","AreaName_frFR","AreaName_deDE","AreaName_enCN","AreaName_zhCN","AreaName_enTW","AreaName_Mask","FactionGroupMask","LiquidTypeID","MinElevation","AmbientMultiplier","LightID"
"109","0","40","197","64","0","11","0","9","0","15","Furlbrow's Pumpkin Farm","","","","","","","","8323198","0","0","0","0","0"
"111","0","40","198","64","0","11","0","9","0","12","Jangolode Mine","","","","","","","","8323198","0","0","0","0","0"
"113","0","40","576","64","0","11","0","9","0","15","Gold Coast Quarry","","","","","","","","8323198","0","0","0","0","0"
"115","0","40","199","64","0","11","24","9","0","17","Westfall Lighthouse","","","","","","","","4128894","0","0","0","0","0"
"116","0","8","200","64","0","11","0","0","0","39","Misty Valley","","","","","","","","8323198","0","0","0","0","0"
"117","0","33","629","64","0","11","0","228","0","35","Grom'gol Base Camp","","","","","","","","8323198","0","0","0","0","0"
"118","0","11","201","64","0","11","0","191","0","22","Whelgar's Excavation Site","","","","","","","","8323198","0","0","0","0","0"
"120","0","12","559","64","0","11","35","0","0","8","Westbrook Garrison","","","","","","","","4128894","0","0","0","0","0"
"121","0","10","202","64","0","11","0","15","0","28","Tranquil Gardens Cemetery","","","","","","","","4128894","0","0","0","0","0"
"122","0","33","203","64","0","11","0","3","0","37","Zuuldaia Ruins","","","","","","","","8323198","0","0","0","0","0"
"123","0","33","204","64","0","11","0","3","0","34","Bal'lal Ruins","","","","","","","","8323198","0","0","0","0","0"
"125","0","33","205","64","0","11","0","3","0","35","Kal'ai Ruins","","","","","","","","8323198","0","0","0","0","0"
"126","0","33","206","64","0","11","0","3","0","0","Tkashi Ruins","","","","","","","","8323198","0","0","0","0","0"
"127","0","33","207","64","0","11","0","3","0","40","Balia'mah Ruins","","","","","","","","8323198","0","0","0","0","0"
"128","0","33","208","64","0","11","0","3","0","36","Ziata'jai Ruins","","","","","","","","8323198","0","0","0","0","0"
"129","0","33","209","64","0","11","0","3","0","37","Mizjah Ruins","","","","","","","","8323198","0","0","0","0","0"
"130","0","0","210","64","0","11","28","2","0","0","Silverpine Forest","","","","","","","","4128894","4","0","0","0","0"
"131","0","1","211","64","0","11","0","0","0","5","Kharanos","","","","","","","","8323198","0","0","0","0","0"
"132","0","1","212","64","0","11","0","0","0","0","Coldridge Valley","","","","","","","","4128894","0","0","0","0","0"
"133","0","1","213","64","0","11","42","8","0","10","Gnomeregan","","","","","","","","8323198","0","0","0","0","0"
"134","0","1","214","64","0","11","0","8","0","10","Gol'Bolar Quarry","","","","","","","","8323198","0","0","0","0","0"
"135","0","1","215","64","0","11","0","0","121","7","Frostmane Hold","","","","","","","","8323198","0","0","0","0","0"
"136","0","1","216","64","0","11","0","0","0","5","The Grizzled Den","","","","","","","","8323198","0","0","0","0","0"
"137","0","1","217","64","0","11","0","0","0","7","Brewnall Village","","","","","","","","8323198","0","0","0","0","0"
"138","0","1","218","64","0","11","0","8","0","7","Misty Pine Refuge","","","","","","","","8323198","0","0","0","0","0"
"139","0","0","219","64","0","11","37","205","0","0","Eastern Plaguelands","","","","","","","","8323198","0","0","0","0","0"
"141","1","0","220","64","0","11","48","11","0","0","Teldrassil","","","","","","","","4128894","2","0","0","0","0"
"142","0","38","221","64","0","11","0","1","0","15","Ironband's Excavation Site","","","","","","","","8323198","0","0","0","0","0"
"143","0","38","222","64","0","11","0","14","0","18","Mo'grosh Stronghold","","","","","","","","8323198","0","0","0","0","0"
"144","0","38","223","64","0","11","0","1","0","10","Thelsamar","","","","","","","","8323198","0","0","0","0","0"
"145","0","38","224","64","0","11","0","1","0","18","Algaz Gate","","","","","","","","8323198","0","0","0","0","0"
"146","0","38","225","64","0","11","230","1","0","15","Stonewrought Dam","","","","","","","","8323198","0","0","0","0","0"
"147","0","38","226","64","0","11","0","0","0","15","The Farstrider Lodge","","","","","","","","8323198","0","0","0","0","0"
"148","1","0","227","64","0","11","28","191","0","0","Darkshore","","","","","","","","4128894","2","0","0","0","0"
"149","0","38","228","64","0","11","0","1","0","12","Silver Stream Mine","","","","","","","","8323198","0","0","0","0","0"
"150","0","11","229","64","0","11","0","191","0","20","Menethil Harbor","","","","","","","","4128894","0","0","0","0","0"
"151","451","0","560","64","0","11","47","504","0","0","Designer Island","","","","","","","","8323198","0","0","0","0","0"
"152","0","85","230","64","0","11","0","2","0","9","The Bulwark","","","","","","","","8323198","0","0","0","0","0"
"153","0","85","607","64","0","11","0","2","0","10","Ruins of Lordaeron","","","","","","","","4128894","0","0","0","0","0"
"154","0","85","231","64","0","11","0","15","0","0","Deathknell","","","","","","","","4128894","0","0","0","0","0"
"155","0","85","232","64","0","11","0","2","0","0","Night Web's Hollow","","","","","","","","4128894","0","0","0","0","0"
"156","0","85","233","64","0","11","0","2","0","6","Solliden Farmstead","","","","","","","","8323198","0","0","0","0","0"
"157","0","85","234","64","0","11","0","15","0","8","Agamand Mills","","","","","","","","8323198","0","0","0","0","0"
"158","0","85","235","64","0","11","0","15","0","0","Agamand Family Crypt","","","","","","","","8323198","0","0","0","0","0"
"159","0","85","236","64","0","11","0","15","0","5","Brill","","","","","","","","8323198","0","0","0","0","0"
"160","0","85","237","64","0","11","0","2","0","12","Whispering Gardens","","","","","","","","8323198","0","0","0","0","0"
"161","0","85","238","64","0","11","0","2","0","10","Terrace of Repose","","","","","","","","8323198","0","0","0","0","0"
"162","0","85","239","64","0","11","0","2","0","7","Brightwater Lake","","","","","","","","8323198","0","0","0","0","0"
"163","0","85","240","64","0","11","0","2","0","0","Gunther's Retreat","","","","","","","","8323198","0","0","0","0","0"
"164","0","85","241","64","0","11","0","2","0","7","Garren's Haunt","","","","","","","","8323198","0","0","0","0","0"
"165","0","85","242","64","0","11","0","15","0","5","Balnir Farmstead","","","","","","","","8323198","0","0","0","0","0"
"166","0","85","243","64","0","11","0","2","0","5","Cold Hearth Manor","","","","","","","","8323198","0","0","0","0","0"
"167","0","85","244","64","0","11","0","2","0","8","Crusader Outpost","","","","","","","","8323198","0","0","0","0","0"
"168","0","85","245","64","0","11","0","2","0","0","The North Coast","","","","","","","","8323198","0","0","0","0","0"
"169","0","85","577","64","0","11","0","0","0","0","Whispering Shore","","","","","","","","8323198","0","0","0","0","0"
"170","0","0","246","64","0","11","31","2","0","0","Lordamere Lake","","","","","","","","8323198","0","0","0","0","0"
"172","0","130","247","64","0","11","0","2","0","18","Fenris Isle","","","","","","","","8323198","0","0","0","0","0"
"173","0","85","620","64","0","11","0","2","0","0","Faol's Rest","","","","","","","","8323198","0","0","0","0","0"
"186","1","141","622","64","0","11","0","11","0","5","Dolanaar","","","","","","","","8323198","0","0","0","0","0"
"187","1","141","248","64","0","11","48","76","63","7","Darnassus UNUSED","","","","","","","","4128894","0","0","0","0","0"
"188","1","141","561","64","0","11","0","11","0","0","Shadowglen","","","","","","","","4128894","0","0","0","0","0"
"189","0","1","249","64","0","11","0","8","0","5","Steelgrill's Depot","","","","","","","","8323198","0","0","0","0","0"
"190","0","28","250","64","0","11","0","509","0","56","Hearthglen","","","","","","","","4128894","0","0","0","0","0"
"192","0","28","251","64","0","11","0","0","0","55","Northridge Lumber Camp","","","","","","","","8323198","0","0","0","0","0"
"193","0","28","252","64","0","11","0","15","0","55","Ruins of Andorhal","","","","","","","","4128894","0","0","0","0","0"
"195","0","28","253","64","0","11","0","0","0","0","School of Necromancy","","","","","","","","8323198","0","0","0","0","0"
"196","0","28","578","64","0","11","0","15","0","0","Uther's Tomb","","","","","","","","8323198","0","0","0","0","0"
"197","0","28","254","64","0","11","0","0","0","50","Sorrow Hill","","","","","","","","8323198","0","0","0","0","0"
"198","0","28","255","64","0","11","0","0","0","55","The Weeping Cave","","","","","","","","8323198","0","0","0","0","0"
"199","0","28","256","64","0","11","0","10","0","50","Felstone Field","","","","","","","","8323198","0","0","0","0","0"
"200","0","28","257","64","0","11","0","10","0","54","Dalson's Tears","","","","","","","","8323198","0","0","0","0","0"
"201","0","28","258","64","0","11","0","10","0","57","Gahrron's Withering","","","","","","","","8323198","0","0","0","0","0"
"202","0","28","259","64","0","11","0","10","0","46","The Writhing Haunt","","","","","","","","8323198","0","0","0","0","0"
"203","0","28","260","64","0","11","37","193","0","0","Mardenholde Keep","","","","","","","","8323198","0","0","0","0","0"
"204","0","130","261","64","0","11","0","191","301","15","Pyrewood Village","","","","","","","","8323198","0","0","0","0","0"
"205","0","11","262","64","0","11","0","191","0","28","Dun Modr","","","","","","","","8323198","0","0","0","0","0"
"206","36","0","263","64","0","11","47","9","0","0","Westfall","","","","","","","","8323198","0","0","0","0","0"
"207","36","0","264","64","0","11","0","9","0","0","The Great Sea","","","","","","","","8323198","0","0","0","0","0"
"208","36","0","265","64","76","11","34","0","0","0","Unused Ironcladcove","","","","","","","","4128894","0","0","0","0","0"
"209","33","0","266","0","0","11","28","2","0","16","Shadowfang Keep","","","","","","","","4128894","4","0","0","0","0"
"210","36","0","267","68","0","11","0","0","0","0","***On Map Dungeon***","","","","","","","","8323198","0","0","0","0","0"
"211","0","1","268","64","0","11","0","8","0","7","Iceflow Lake","","","","","","","","8323198","0","0","0","0","0"
"212","0","1","269","64","0","11","0","8","0","8","Helm's Bed Lake","","","","","","","","8323198","0","0","0","0","0"
"213","0","130","270","64","0","11","0","2","324","13","Deep Elem Mine","","","","","","","","8323198","0","0","0","0","0"
"214","0","0","271","64","0","11","0","9","0","0","The Great Sea","","","","","","","","4128894","0","0","0","0","0"
"215","1","0","272","64","0","11","30","9","0","0","Mulgore","","","","","","","","4128894","4","0","0","0","0"
"219","0","40","273","64","0","11","0","9","0","15","Alexston Farmstead","","","","","","","","8323198","0","0","0","0","0"
"220","1","215","562","64","0","11","0","9","0","0","Red Cloud Mesa","","","","","","","","8323198","0","0","0","0","0"
"221","1","215","274","64","0","11","0","9","0","0","Camp Narache","","","","","","","","4128894","0","0","0","0","0"
"222","1","215","275","64","0","11","0","226","0","5","Bloodhoof Village","","","","","","","","8323198","0","0","0","0","0"
"223","1","215","276","64","0","11","0","9","0","0","Stonebull Lake","","","","","","","","8323198","0","0","0","0","0"
"224","1","215","277","64","0","11","0","9","0","7","Ravaged Caravan","","","","","","","","8323198","0","0","0","0","0"
"225","1","215","278","64","0","11","0","9","0","9","Red Rocks","","","","","","","","4128894","0","0","0","0","0"
"226","0","130","551","64","0","11","0","0","0","11","The Skittering Dark","","","","","","","","8323198","0","0","0","0","0"
"227","0","130","279","64","0","11","0","2","0","11","Valgan's Field","","","","","","","","8323198","0","0","0","0","0"
"228","0","130","280","64","0","11","0","15","0","10","The Sepulcher","","","","","","","","8323198","0","0","0","0","0"
"229","0","130","281","64","0","11","0","0","161","12","Olsen's Farthing","","","","","","","","8323198","0","0","0","0","0"
"230","0","130","282","64","0","11","0","0","0","18","The Greymane Wall","","","","","","","","8323198","0","0","0","0","0"
"231","0","130","283","64","0","11","0","191","0","20","Beren's Peril","","","","","","","","8323198","0","0","0","0","0"
"232","0","130","284","64","0","11","0","2","0","0","The Dawning Isles","","","","","","","","8323198","0","0","0","0","0"
"233","0","130","285","64","0","11","0","191","301","15","Ambermill","","","","","","","","8323198","0","0","0","0","0"
"235","0","130","608","64","0","11","0","219","0","0","Fenris Keep","","","","","","","","8323198","0","0","0","0","0"
"236","0","130","286","64","0","11","28","2","0","16","Shadowfang Keep","","","","","","","","4128894","0","0","0","0","0"
"237","0","130","287","64","0","11","0","2","0","16","The Decrepit Ferry","","","","","","","","8323198","0","0","0","0","0"
"238","0","130","587","64","0","11","0","2","0","0","Malden's Orchard","","","","","","","","8323198","0","0","0","0","0"
"239","0","130","588","64","0","11","0","2","0","11","The Ivar Patch","","","","","","","","8323198","0","0","0","0","0"
"240","0","130","288","64","0","11","0","2","0","12","The Dead Field","","","","","","","","8323198","0","0","0","0","0"
"241","0","10","289","64","0","11","0","2","0","26","The Rotting Orchard","","","","","","","","8323198","0","0","0","0","0"
"242","0","10","290","64","0","11","0","2","0","28","Brightwood Grove","","","","","","","","8323198","0","0","0","0","0"
"243","0","10","291","64","0","11","0","2","0","0","Forlorn Rowe","","","","","","","","8323198","0","0","0","0","0"
"244","0","10","292","64","0","11","0","2","0","0","The Whipple Estate","","","","","","","","8323198","0","0","0","0","0"
"245","0","10","563","64","0","11","0","2","0","25","The Yorgen Farmstead","","","","","","","","8323198","0","0","0","0","0"
"246","0","51","293","64","0","11","0","10","0","48","The Cauldron","","","","","","","","8323198","0","0","0","0","0"
"247","0","51","294","64","0","11","0","0","0","45","Grimesilt Dig Site","","","","","","","","8323198","0","0","0","0","0"
"249","0","46","1","64","0","11","0","10","0","50","Dreadmaul Rock","","","","","","","","8323198","0","0","0","0","0"
"250","0","46","579","64","0","11","0","0","0","54","Ruins of Thaurissan","","","","","","","","4128894","0","0","0","0","0"
"251","0","46","2","64","0","11","0","0","0","0","Flame Crest","","","","","","","","8323198","0","0","0","0","0"
"252","0","46","3","64","0","11","0","0","301","57","Blackrock Stronghold","","","","","","","","4128894","0","0","0","0","0"
"253","0","46","4","64","0","11","0","0","0","56","The Pillar of Ash","","","","","","","","8323198","0","0","0","0","0"
"254","0","46","630","64","0","11","0","10","0","55","Blackrock Mountain","","","","","","","","4128894","0","0","0","0","0"
"255","0","46","5","64","0","11","0","10","0","59","Altar of Storms","","","","","","","","8323198","0","0","0","0","0"
"256","1","141","6","64","0","11","0","11","0","0","Aldrassil","","","","","","","","8323198","0","0","0","0","0"
"257","1","141","7","64","0","11","0","11","0","0","Shadowthread Cave","","","","","","","","8323198","0","0","0","0","0"
"258","1","141","8","64","0","11","0","11","0","0","Fel Rock","","","","","","","","8323198","0","0","0","0","0"
"259","1","141","9","64","0","11","0","11","0","5","Lake Al'Ameth","","","","","","","","8323198","0","0","0","0","0"
"260","1","141","10","64","0","11","0","11","0","6","Starbreeze Village","","","","","","","","8323198","0","0","0","0","0"
"261","1","141","11","64","0","11","0","0","0","8","Gnarlpine Hold","","","","","","","","8323198","0","0","0","0","0"
"262","1","141","12","64","0","11","0","11","0","0","Ban'ethil Barrow Den","","","","","","","","8323198","0","0","0","0","0"
"263","1","141","13","64","0","11","0","0","0","0","The Cleft","","","","","","","","8323198","0","0","0","0","0"
"264","1","141","14","64","0","11","0","11","0","9","The Oracle Glade","","","","","","","","8323198","0","0","0","0","0"
"265","1","141","15","64","0","11","0","0","0","11","Wellspring River","","","","","","","","4128894","0","0","0","0","0"
"266","1","141","16","64","0","11","0","0","0","9","Wellspring Lake","","","","","","","","8323198","0","0","0","0","0"
"267","0","0","17","64","0","11","31","1","0","0","Hillsbrad Foothills","","","","","","","","4128894","0","0","0","0","0"
"268","37","0","580","64","0","11","42","0","0","0","Azshara Crater","","","","","","","","4128894","0","0","0","0","0"
"269","0","0","18","64","0","11","31","0","0","18","Dun Algaz","","","","","","","","8323198","0","0","0","0","0"
"271","0","267","615","64","0","11","0","1","0","22","Southshore","","","","","","","","4128894","0","0","0","0","0"
"272","0","267","19","64","0","11","0","182","0","20","Tarren Mill","","","","","","","","4128894","0","0","0","0","0"
"275","0","267","20","64","0","11","0","191","302","21","Durnholde Keep","","","","","","","","8323198","0","0","0","0","0"
"276","0","0","564","64","0","11","31","0","0","0","UNUSED Stonewrought Pass","","","","","","","","4128894","0","0","0","0","0"
"277","0","36","21","64","0","11","0","1","0","0","The Foothill Caverns","","","","","","","","8323198","0","0","0","0","0"
"278","0","36","22","64","0","11","0","1","301","32","Lordamere Internment Camp","","","","","","","","8323198","0","0","0","0","0"
"279","0","36","23","64","0","11","0","0","81","30","Dalaran","","","","","","","","8323198","0","0","0","0","0"
"280","0","36","24","64","0","11","37","10","301","34","Strahnbrad","","","","","","","","8323198","0","0","0","0","0"
"281","0","36","25","64","0","11","37","10","301","36","Ruins of Alterac","","","","","","","","8323198","0","0","0","0","0"
"282","0","36","26","64","0","11","37","10","0","35","Crushridge Hold","","","","","","","","8323198","0","0","0","0","0"
"283","0","36","27","64","0","11","37","10","0","35","Slaughter Hollow","","","","","","","","8323198","0","0","0","0","0"
"284","0","36","28","64","0","11","0","1","0","27","The Uplands","","","","","","","","8323198","0","0","0","0","0"
"285","0","267","29","64","0","11","0","2","0","21","Southpoint Tower","","","","","","","","8323198","0","0","0","0","0"
"286","0","267","30","64","0","11","0","1","0","22","Hillsbrad Fields","","","","","","","","8323198","0","0","0","0","0"
"287","0","267","31","64","0","11","0","1","0","0","Hillsbrad","","","","","","","","8323198","0","0","0","0","0"
"288","0","267","32","64","0","11","0","0","301","27","Azurelode Mine","","","","","","","","4128894","0","0","0","0","0"
"289","0","267","33","64","0","11","0","1","0","26","Nethander Stead","","","","","","","","8323198","0","0","0","0","0"
"290","0","267","34","64","0","11","0","1","0","30","Dun Garok","","","","","","","","8323198","0","0","0","0","0"
"293","0","0","35","64","0","11","31","1","0","30","Thoradin's Wall","","","","","","","","8323198","0","0","0","0","0"
"294","0","267","36","64","0","11","0","1","0","30","Eastern Strand","","","","","","","","8323198","0","0","0","0","0"
"295","0","267","616","64","0","11","0","1","0","30","Western Strand","","","","","","","","8323198","0","0","0","0","0"
